CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210046642,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,700 BLOCK MILLER AVE,ANN ARBOR,2021-12-15 19:19:00,ASSAULT - SIMPLE,-83.75680509999995,42.284926400000074
211000836,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,GALLUP PARK,ANN ARBOR,2021-12-15 12:15:00,LARCENY - FROM AUTO (LFA),-83.69749409999997,42.27573640000003
210046808,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3600 BLOCK CA CANNY,ANN ARBOR,2021-12-16 21:14:00,ASSAULT - SIMPLE,-83.68671739899997,42.23825130000006
211000834,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,600 BLOCK W STADIUM BLVD,ANN ARBOR,2021-12-15 10:40:30,LARCENY - ALL OTHER,-83.75311269899998,42.262054300000045
210046518,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK S MAIN ST,ANN ARBOR,2021-12-14 19:22:00,ASSAULT - SIMPLE,-83.74881490099995,42.27946360100003
210046518,ALL OTHER,4801,RESISTING OFFICER,B,300 BLOCK S MAIN ST,ANN ARBOR,2021-12-14 19:22:00,OBSTRUCTING POLICE,-83.74881490099995,42.27946360100003
210046518,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK S MAIN ST,ANN ARBOR,2021-12-14 19:22:00,PUBLIC PEACE,-83.74881490099995,42.27946360100003
211000835,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,1500 BLOCK KING GEORGE CT,ANN ARBOR,2021-12-10 12:31:30,FRAUD,-83.72263239999995,42.24855160000004
210046999,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,100 BLOCK E WASHINGTON ST,ANN ARBOR,2021-12-18 01:17:00,DAMAGE TO PROPERTY,-83.74767819899995,42.27842179900006
210046729,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,400 BLOCK S MAIN ST,ANN ARBOR,2021-12-16 12:56:00,LARCENY - RETAIL FRAUD,-83.74902609999998,42.277732900000046
210046914,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,2700 BLOCK ADRIENNE DR,ANN ARBOR,2021-12-17 14:53:30,DAMAGE TO PROPERTY,-83.78004020099996,42.26910410000005
210047042,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,600 BLOCK SPRING ST,ANN ARBOR,2021-12-18 11:00:00,FRAUD,-83.75282229999993,42.28693379900005
210046725,DISORDERLY CONDUCT,5393,DISORDERLY CONDUCT (OTHER),B,200 BLOCK W LIBERTY ST,ANN ARBOR,2021-12-16 12:37:00,PUBLIC PEACE,-83.75056119999994,42.27927419900004
210047000,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,400 BLOCK E WASHINGTON ST,ANN ARBOR,2021-12-16 16:40:00,LARCENY - ALL OTHER,-83.74290589999998,42.280601800000056
210047012,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,700 BLOCK S MAIN ST,ANN ARBOR,2021-12-18 04:00:00,LARCENY - RETAIL FRAUD,-83.74983509999998,42.272502701000064
210046906,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,3300 BLOCK WASHTENAW AVE,ANN ARBOR,2021-12-16 19:00:00,DAMAGE TO PROPERTY,-83.69419219899999,42.256402800000046
